,car_id,name,amount,region,use_type,milage
159,/39x3Y3zMMCf0NHQWKGj2bILp,Toyota 4-Runner 1999 Silver,"₦ 2,100,000","Lagos State, Yaba",Nigerian Used,335071 km
160,/D7y0Do3VcE6srPebr1UNBcU,Ford Escape 2014 Black,"₦ 4,305,000","Lagos State, Ikorodu",Nigerian Used,219193 km
161,/5QxMB4qKvDCAfF4JMWLDHGro,Toyota RAV4 SE 4dr SUV (2.5L 4cyl 6A) 2018 Blue,"₦ 13,860,000","Lagos State, Ikeja",Foreign Used,125670 km
162,/1hM336q5C3WgUjMXZNK0AMa9,Ford F-150 2005 Blue,"₦ 1,890,000","Lagos State, Ojodu",Nigerian Used,313602 km
163,/vcGh7CQnX4jG1KCyHnjPD8Z6,Toyota Tundra CrewMax Limited 5.7L 2010 Gray,"₦ 7,350,000","Abuja (FCT), Garki 2",Nigerian Used,93737 km
164,/1zE5NE6JbyHM8scWPgmWtOTT,Honda Civic 2008 Gray,"₦ 3,150,000","Lagos State, Yaba",Nigerian Used,260950 km
165,/yWt4IUE14sgoYmLXUm81ruqa,Toyota Camry 1996 Gold,"₦ 892,500","Oyo State, Ibadan",Nigerian Used,387191 km
166,/HjkgeQcsyh1ekowEXElThkK,Nissan Armada 2004 Black,"₦ 2,205,000","Lagos State, Alimosho",Nigerian Used,219465 km
167,/fJEsl9PpPjzFrg6OeLFkpnZR,Honda Accord 2005 Silver,"₦ 1,768,000","Abuja (FCT), Mararaba",Nigerian Used,200704 km
168,/i6BJP0TOoIhksaOM33jSVfmU,Volkswagen Rabbit 2007 White,"₦ 2,310,000","Lagos State, Ikeja",Nigerian Used,243060 km
169,/2IXcv2Mb2AvkRWKt3DzGeuS6,Toyota Corolla 2006 Black,"₦ 3,120,000","Lagos State, Yaba",Nigerian Used,482800 km
170,/f1XTQp8y9cjKAXMF6ay0cEQQ,Mercedes-Benz C300 2015 White,"₦ 13,650,000","Ondo State, Akure",Foreign Used,169600 km
171,/b7q1Sgcq9kJOx96xGQiNgkaf,Lexus IS 2006 Silver,"₦ 3,150,000","Lagos State, Yaba",Nigerian Used,383001 km
172,/BbI9yKWX068QCYAt0Qti1EiS,Toyota Camry 2002 Gold,"₦ 1,365,000","Ondo State, Akure",Nigerian Used,486400 km
173,/zdsaWio85xRhlxau3VemApJe,Mercedes-Benz S-Class S 550 2012 Silver,"₦ 10,825,000","Abuja (FCT), Garki 2",Nigerian Used,74903 km
